Genera,Abundance
Veillonella,3.54E-05
Veillonella,8.83E-05
Veillonella,1.74E-05
Veillonella,0.003856581
Helcococcus,0
Helcococcus,1.53E-05
Helcococcus,0
Helcococcus,2.11E-06
Helcococcus,0
Helcococcus,0
Helcococcus,0
Helcococcus,0
Helcococcus,0
Helcococcus,1.16E-06
Helcococcus,5.14E-07
Helcococcus,0
Helcococcus,0
Helcococcus,0
Helcococcus,3.90E-07
Helcococcus,0
Helcococcus,0
Leptotrichia,0.002279694
Leptotrichia,0.037187511
Leptotrichia,0.000101913
Leptotrichia,0.000117435
Leptotrichia,4.80E-05
Leptotrichia,6.25E-05
Leptotrichia,5.20E-05
Leptotrichia,0.000190273
Leptotrichia,6.40E-06
Leptotrichia,2.85E-05
Leptotrichia,0.000197499
Leptotrichia,0.000136067
Leptotrichia,0.000128366
Leptotrichia,0.000192522
Leptotrichia,7.70E-05
Leptotrichia,8.81E-05
Leptotrichia,0.006066152
Rothia,4.43E-05
Rothia,0.02596604
Rothia,1.46E-05
Rothia,1.77E-06
Rothia,8.84E-05
Rothia,0
Rothia,1.95E-05
Rothia,0.000243477
Rothia,6.40E-06
Rothia,0.094827486
Rothia,5.14E-06
Rothia,1.65E-05
Rothia,0.000171155
Rothia,1.40E-05
Rothia,0.000198628
Rothia,9.93E-06
Rothia,0.008079165
Kingella,0
Kingella,4.60E-05
Kingella,0
Kingella,1.69E-07
Kingella,5.05E-06
Kingella,0
Kingella,0
Kingella,8.12E-06
Kingella,1.28E-05
